[2025-07-14 14:41:44] Starting battle royale monitoring...
[2025-07-14 18:46:40] System Status - Memory: 6.8%, Load: 0.55
[2025-07-14 18:47:10] System Status - Memory: 6.6%, Load: 0.55
[2025-07-14 18:47:40] System Status - Memory: 6.7%, Load: 0.53
[2025-07-14 18:48:10] System Status - Memory: 6.6%, Load: 0.39
[2025-07-14 18:48:40] System Status - Memory: 6.5%, Load: 0.23
[2025-07-14 18:49:10] System Status - Memory: 6.6%, Load: 0.21
[2025-07-14 18:49:40] System Status - Memory: 6.6%, Load: 0.19
[2025-07-14 18:50:10] System Status - Memory: 6.6%, Load: 0.12
[2025-07-14 18:50:40] System Status - Memory: 6.6%, Load: 0.12
[2025-07-14 18:51:10] System Status - Memory: 6.6%, Load: 0.25
[2025-07-14 18:51:40] System Status - Memory: 6.6%, Load: 0.37
[2025-07-14 18:52:10] System Status - Memory: 6.7%, Load: 0.38
[2025-07-14 18:52:40] System Status - Memory: 6.7%, Load: 0.40
[2025-07-14 18:53:10] System Status - Memory: 6.6%, Load: 0.36
